Service,Policy Definition,Parameter Requirements,Audit Only,Azure Security Benchmark,CIS,CCMC L3,ISO 27001,NIST SP 800-53 R4,NIST SP 800-171 R2,HIPAA HITRUST 9.2,New Zealand ISM,Parameters,Link
Internet of Things,IoT Hub device provisioning service instances should use private link,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Internet%20of%20Things/IoTDps_EnablePrivateEndpoint_Audit.json
Internet of Things,Private endpoint should be enabled for IoT Hub,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Internet%20of%20Things/IoTHub_EnablePrivateEndpoint_Audit.json
Internet of Things,Public network access on Azure IoT Hub should be disabled,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Internet%20of%20Things/IoTHub_DisablePublicNetworkAccess_AuditDeny.json
Internet of Things,Resource logs in IoT Hub should be enabled,Optional,Yes,LT-4,5.3,,,,,1204.09aa1System.3 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Internet%20of%20Things/IoTHub_AuditDiagnosticLog_Audit.json
Key Vault,Azure Key Vault Managed HSM should have purge protection enabled,None,No,,,,,,,1635.12b1Organizational.2 - 12.b,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Key%20Vault/ManagedHsm_Recoverable_Audit.json
Key Vault,Certificates should be issued by the specified integrated certificate authority,Optional,No,,,,,,,,,allowedCAs,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_Issuers_SupportedCAs.json
Key Vault,Certificates should be issued by the specified non-integrated certificate authority,Required,No,,,,,,,,,caCommonName,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_Issuers_CustomCAs.json
Key Vault,Certificates should have the specified lifetime action triggers,Required,No,,,,,,,,,"maximumPercentageLife, minimumDaysBeforeExpiry",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_LifetimeAction.json
Key Vault,Certificates should have the specified maximum validity period,Optional,No,,,,,,,,,maximumValidityInMonths,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_ValidityPeriod.json
Key Vault,Certificates should not expire within the specified number of days,Required,No,,,,,,,,,daysToExpire,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_Expiry_ByDays.json
Key Vault,Certificates should use allowed key types,Optional,No,,,,,,,,,allowedKeyTypes,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_AllowedKeyTypes.json
Key Vault,Certificates using RSA cryptography should have the specified minimum key size,Required,No,,,,,,,,,minimumRSAKeySize,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_RSA_MinimumKeySize.json
Key Vault,Certificates using elliptic curve cryptography should have allowed curve names,Optional,No,,,,,,,,,allowedECNames,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Certificates_EC_AllowedCurveNames.json
Key Vault,Firewall should be enabled on Key Vault,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/AzureKeyVaultFirewallEnabled_Audit.json
Key Vault,Key Vault keys should have an expiration date,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_ExpirationSet.json
Key Vault,Key Vault secrets should have an expiration date,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Secrets_ExpirationSet.json
Key Vault,Key vaults should have purge protection enabled,None,No,BR-4,8.4,,,,,1635.12b1Organizational.2 - 12.b,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Key%20Vault/KeyVault_Recoverable_Audit.json
Key Vault,Key vaults should have soft delete enabled,None,No,BR-4,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Key%20Vault/KeyVault_SoftDeleteMustBeEnabled_Audit.json
Key Vault,Keys should be backed by a hardware security module (HSM),None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_HSMBacked.json
Key Vault,Keys should be the specified cryptographic type RSA or EC,Optional,No,,,,,,,,,allowedKeyTypes,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_AllowedKeyTypes.json
Key Vault,Keys should have more than the specified number of days before expiration,Required,No,,,,,,,,,minimumDaysBeforeExpiration,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_Expiry_ByDays.json
Key Vault,Keys should have the specified maximum validity period,Required,No,,,,,,,,,maximumValidityInDays,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_ValidityPeriod.json
Key Vault,Keys should not be active for longer than the specified number of days,Required,No,,,,,,,,,maximumValidityInDays,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_ActivePeriod.json
Key Vault,Keys using RSA cryptography should have a specified minimum key size,Required,No,,,,,,,,,minimumRSAKeySize,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_RSA_MinimumKeySize.json
Key Vault,Keys using elliptic curve cryptography should have the specified curve names,Optional,No,,,,,,,,,allowedECNames,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Keys_EC_AllowedCurveNames.json
Key Vault,Private endpoint should be configured for Key Vault,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/AzureKeyVaultPrivateEndpointEnabled_Audit.json
Key Vault,Resource logs in Azure Key Vault Managed HSM should be enabled,Optional,Yes,,,,,,,1211.09aa3System.4 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Key%20Vault/ManagedHsm_AuditDiagnosticLog_Audit.json
Key Vault,Resource logs in Key Vault should be enabled,Optional,Yes,LT-4,5.3,,,,,1211.09aa3System.4 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Key%20Vault/KeyVault_AuditDiagnosticLog_Audit.json
Key Vault,Secrets should have content type set,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Secrets_ContentTypeSet.json
Key Vault,Secrets should have more than the specified number of days before expiration,Required,No,,,,,,,,,minimumDaysBeforeExpiration,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Secrets_Expiry_ByDays.json
Key Vault,Secrets should have the specified maximum validity period,Required,No,,,,,,,,,maximumValidityInDays,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Secrets_ValidityPeriod.json
Key Vault,Secrets should not be active for longer than the specified number of days,Required,No,,,,,,,,,maximumValidityInDays,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key%20Vault/Secrets_ActivePeriod.json
Kubernetes,Azure Kubernetes Service Private Clusters should be enabled,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/AKS_PrivateCluster_Deny.json
Kubernetes,Azure Policy Add-on for Kubernetes service (AKS) should be installed and enabled on your clusters,None,Yes,PV-2,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/AKS_AzurePolicyAddOn_Audit.json
Kubernetes,Both operating systems and data disks in Azure Kubernetes Service clusters should be encrypted by customer-managed keys,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/AKS_CMK_Deny.json
Kubernetes,Kubernetes cluster containers CPU and memory resource limits should not exceed the specified limits,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, cpuLimit, memoryLimit",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ContainerResourceLimits.json
Kubernetes,Kubernetes cluster containers should not share host process ID or host IPC namespace,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/BlockHostNamespace.json
Kubernetes,Kubernetes cluster containers should not use forbidden sysctl interfaces,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, forbiddenSysctls",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ForbiddenSysctlInterfaces.json
Kubernetes,Kubernetes cluster containers should only listen on allowed ports,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedContainerPortsList",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ContainerAllowedPorts.json
Kubernetes,Kubernetes cluster containers should only use allowed AppArmor profiles,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedProfiles",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/EnforceAppArmorProfile.json
Kubernetes,Kubernetes cluster containers should only use allowed ProcMountType,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, procMountType",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/AllowedProcMountType.json
Kubernetes,Kubernetes cluster containers should only use allowed capabilities,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedCapabilities, requiredDropCapabilities",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/ContainerAllowedCapabilities.json
Kubernetes,Kubernetes cluster containers should only use allowed images,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedContainerImagesRegex",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ContainerAllowedImages.json
Kubernetes,Kubernetes cluster containers should only use allowed seccomp profiles,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedProfiles",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/AllowedSeccompProfile.json
Kubernetes,Kubernetes cluster containers should run with a read only root file system,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/ReadOnlyRootFileSystem.json
Kubernetes,Kubernetes cluster pod FlexVolume volumes should only use allowed drivers,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedFlexVolumeDrivers",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/FlexVolumeDrivers.json
Kubernetes,Kubernetes cluster pod hostPath volumes should only use allowed host paths,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedHostPaths",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/AllowedHostPaths.json
Kubernetes,Kubernetes cluster pods and containers should only run with approved user and group IDs,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, runAsUserRule, runAsUserRanges, runAsGroupRule, runAsGroupRanges, supplementalGroupsRule, supplementalGroupsRanges, fsGroupRule, fsGroupRanges",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/AllowedUsersGroups.json
Kubernetes,Kubernetes cluster pods and containers should only use allowed SELinux options,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedSELinuxOptions",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/SELinux.json
Kubernetes,Kubernetes cluster pods should only use allowed volume types,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedVolumeTypes",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/AllowedVolumeTypes.json
Kubernetes,Kubernetes cluster pods should only use approved host network and port range,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowHostNetwork, minPort, maxPort",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/HostNetworkPorts.json
Kubernetes,Kubernetes cluster pods should use specified labels,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, labelsList",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/PodEnforceLabels.json
Kubernetes,Kubernetes cluster services should listen only on allowed ports,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedServicePortsList",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ServiceAllowedPorts.json
Kubernetes,Kubernetes cluster services should only use allowed external IPs,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedExternalIPs",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/AllowedExternalIPs.json
Kubernetes,Kubernetes cluster should not allow privileged containers,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ContainerNoPrivilege.json
Kubernetes,Kubernetes clusters should be accessible only over HTTPS,Required,No,DP-4,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/IngressHttpsOnly.json
Kubernetes,Kubernetes clusters should disable automounting API credentials,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/BlockAutomountToken.json
Kubernetes,Kubernetes clusters should not allow container privilege escalation,Required,No,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/ContainerNoPrivilegeEscalation.json
Kubernetes,Kubernetes clusters should not grant CAP_SYS_ADMIN security capabilities,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ContainerDisallowedSysAdminCapability.json
Kubernetes,Kubernetes clusters should not use specific security capabilities,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, disallowedCapabilities",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/ContainerDisallowedCapabilities.json
Kubernetes,Kubernetes clusters should not use the default namespace,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/BlockDefaultNamespace.json
Kubernetes,Kubernetes clusters should use internal load balancers,Required,No,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/LoadbalancerNoPublicIPs.json
Kubernetes,Temp disks and cache for agent node pools in Azure Kubernetes Service clusters should be encrypted at host,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Kubernetes/AKS_EncryptionAtHost_Deny.json
Lighthouse,Allow managing tenant ids to onboard through Azure Lighthouse,Required,No,,,,,,,,,listOfAllowedTenants,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Lighthouse/AllowCertainManagingTenantIds_Deny.json
Lighthouse,Audit delegation of scopes to a managing tenant,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Lighthouse/Lighthouse_Delegations_Audit.json
Logic Apps,Resource logs in Logic Apps should be enabled,Optional,Yes,LT-4,5.3,,,,,1203.09aa1System.2 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Logic%20Apps/LogicApps_AuditDiagnosticLog_Audit.json
Machine Learning,Azure Machine Learning workspaces should be encrypted with a customer-managed key,None,No,DP-5,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Machine%20Learning/Workspace_CMKEnabled_Audit.json
Machine Learning,Azure Machine Learning workspaces should use private link,None,Yes,NS-3,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Machine%20Learning/Workspace_PrivateLinkEnabled_Audit.json
Machine Learning,Azure Machine Learning workspaces should use user-assigned managed identity,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Machine%20Learning/Workspace_UAIEnabled_Audit.json
Machine Learning,Configure allowed Python packages for specified Azure Machine Learning computes,Required,No,,,,,,,,,"computeNames, allowedPythonPackageChannels",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Machine%20Learning/AllowedPythonPackageChannels_EnforceSetting.json
Machine Learning,Configure allowed module authors for specified Azure Machine Learning computes,Required,No,,,,,,,,,"computeNames, allowedModuleAuthors",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Machine%20Learning/AllowedModuleAuthors_EnforceSetting.json
Machine Learning,Configure allowed registries for specified Azure Machine Learning computes,Required,No,,,,,,,,,"computeNames, allowedACRs",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Machine%20Learning/AllowedACRs_EnforceSetting.json
Machine Learning,Configure an approval endpoint called prior to jobs running for specified Azure Machine Learning computes,Required,No,,,,,,,,,"computeNames, approvalEndpoint",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Machine%20Learning/ApprovalEndpoint_EnforceSetting.json
Machine Learning,Configure code signing for training code for specified Azure Machine Learning computes,Required,No,,,,,,,,,"computeNames, signingKey",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Machine%20Learning/AllowedSigningKey_EnforceSetting.json
Machine Learning,Configure log filter expressions and datastore to be used for full logs for specified Azure Machine Learning computes,Required,No,,,,,,,,,"computeNames, logFilters, datastore",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Machine%20Learning/AllowedLogFilter_EnforceSetting.json
Managed Application,Application definition for Managed Application should use customer provided storage account,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Managed%20Application/ApplicationDefinition_Missing_StorageAccount_Deny.json
Monitoring,Activity log should be retained for at least one year,None,Yes,,,,,,,,AC-15,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLogRetention_365orGreater.json
Monitoring,An activity log alert should exist for specific Administrative operations,Required,Yes,,5.2.9,,,,,1271.09ad1System.1 - 09.ad,,operationName,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_AdministrativeOperations_Audit.json
Monitoring,An activity log alert should exist for specific Policy operations,Required,Yes,,5.2.2,,,,,,,operationName,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_PolicyOperations_Audit.json
Monitoring,An activity log alert should exist for specific Security operations,Required,Yes,,5.2.8,,,,,,,operationName,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_SecurityOperations_Audit.json
Monitoring,Audit Log Analytics workspace for VM - Report Mismatch,Required,Yes,,,,,SI-4,3.3.2,,AC-14,logAnalyticsWorkspaceId,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/LogAnalytics_WorkspaceMismatch_VM_Audit.json
Monitoring,Audit diagnostic setting,Required,Yes,,,,A.12.4.4,AU-12,3.3.4,1210.09aa3System.3 - 09.aa,DM-6,listOfResourceTypes,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/DiagnosticSettingsForTypes_Audit.json
Monitoring,Azure Monitor Logs clusters should be created with infrastructure-encryption enabled (double encryption),None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/LogAnalyticsClusters_CMKDoubleEncryptionEnabled_Deny.json
Monitoring,Azure Monitor Logs clusters should be encrypted with customer-managed key,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/LogAnalyticsClusters_CMKEnabled_Deny.json
Monitoring,Azure Monitor Logs for Application Insights should be linked to a Log Analytics workspace,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/ApplicationInsightsComponent_WorkspaceAssociation_Deny.json
Monitoring,"Azure Monitor log profile should collect logs for categories 'write,' 'delete,' and 'action'",None,Yes,,,,,,,1219.09ab3System.10 - 09.ab,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_CaptureAllCategories.json
Monitoring,Azure Monitor should collect activity logs from all regions,None,Yes,,,,,,,1214.09ab2System.3456 - 09.ab,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_CaptureAllRegions.json
Monitoring,Azure Monitor solution 'Security and Audit' must be deployed,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/Security_Audit_MustBeDeployed.json
Monitoring,Azure subscriptions should have a log profile for Activity Log,None,Yes,,,,,,,,AC-13,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/Logprofile_activityLogs_Audit.json
Monitoring,Dependency agent should be enabled for listed virtual machine images,Required,Yes,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/DependencyAgent_OSImage_Audit.json
Monitoring,Dependency agent should be enabled in virtual machine scale sets for listed virtual machine images,Required,Yes,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/DependencyAgent_OSImage_VMSS_Audit.json
Monitoring,Log Analytics Agent should be enabled for listed virtual machine images,Required,Yes,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/LogAnalytics_OSImage_Audit.json
Monitoring,Log Analytics agent should be enabled in virtual machine scale sets for listed virtual machine images,Required,Yes,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/LogAnalytics_OSImage_VMSS_Audit.json
Monitoring,Log Analytics agent should be installed on your Linux Azure Arc machines,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/Arc_Linux_LogAnalytics_Audit.json
Monitoring,Log Analytics agent should be installed on your Windows Azure Arc machines,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/Arc_Windows_LogAnalytics_Audit.json
Monitoring,Network traffic data collection agent should be installed on Linux virtual machines,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/ASC_Dependency_Agent_Audit_Linux.json
Monitoring,Network traffic data collection agent should be installed on Windows virtual machines,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/ASC_Dependency_Agent_Audit_Windows.json
Monitoring,Saved-queries in Azure Monitor should be saved in customer storage account for logs encryption,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/LogAnalyticsWorkspaces_CMKBYOSQueryEnabled_Deny.json
Monitoring,Storage account containing the container with activity logs must be encrypted with BYOK,None,Yes,,5.1.4,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_StorageAccountBYOK_Audit.json
Monitoring,The Log Analytics agent should be installed on Virtual Machine Scale Sets,None,Yes,,,,,,3.3.2,1216.09ab3System.12 - 09.ab,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/VMSS_LogAnalyticsAgent_AuditIfNotExists.json
Monitoring,The Log Analytics agent should be installed on virtual machines,None,Yes,,,,,,3.3.2,1215.09ab2System.7 - 09.ab,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/VirtualMachines_LogAnalyticsAgent_AuditIfNotExists.json
Monitoring,Workbooks should be saved to storage accounts that you control,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Monitoring/Workbooks_BYOSEnabled_Audit.json
Network,A custom IPsec/IKE policy must be applied to all Azure virtual network gateway connections,Required,Yes,,,,,,,,,"IPsecEncryption, IPsecIntegrity, IKEEncryption, IKEIntegrity, DHGroup, PFSGroup",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/VPNGateways_CustomIpSecPolicies_Audit.json
Network,All Internet traffic should be routed via your deployed Azure Firewall,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ASC_All_Internet_traffic_should_be_routed_via_Azure_Firewall.json
Network,App Service should use a virtual network service endpoint,None,Yes,,,,,,,0861.09m2Organizational.67 - 09.m,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/VirtualNetworkServiceEndpoint_AppService_AuditIfNotExists.json
Network,Azure VPN gateways should not use 'basic' SKU,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/VPNGateways_BasicSKU_Audit.json
Network,Container Registry should use a virtual network service endpoint,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/VirtualNetworkServiceEndpoint_ContainerRegistry_Audit.json
Network,Cosmos DB should use a virtual network service endpoint,None,Yes,,,,,,,0864.09m2Organizational.12 - 09.m,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/VirtualNetworkServiceEndpoint_CosmosDB_Audit.json
Network,Event Hub should use a virtual network service endpoint,None,Yes,,,,,,,0863.09m2Organizational.910 - 09.m,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/VirtualNetworkServiceEndpoint_EventHub_AuditIfNotExists.json
Network,Flow logs should be configured for every network security group,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/NetworkSecurityGroup_FlowLog_Audit.json
Network,Flow logs should be enabled for every network security group,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/NetworkWatcherFlowLog_Enabled_Audit.json
Network,Gateway subnets should not be configured with a network security group,None,No,,,,,,,0894.01m2Organizational.7 - 01.m,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/NetworkSecurityGroupOnGatewaySubnet_Deny.json
Network,Key Vault should use a virtual network service endpoint,None,Yes,,,,,,,0865.09m2Organizational.13 - 09.m,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/VirtualNetworkServiceEndpoint_KeyVault_Audit.json
Network,Network Watcher should be enabled,Required,Yes,LT-3,6.5,,,,3.14.6,0888.09n2Organizational.6 - 09.n,,"listOfLocations, resourceGroupName",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/NetworkWatcher_Enabled_Audit.json
